snapshot_date,fund_isin,ticker,holdingWeight,newsCount7d,avgSentiment,positiveShare,negativeShare,neutralShare,target_return_5d
2026-03-11,SE0000740698,VOLV-B.ST,9.5,0,0.0,0.0,0.0,0.0,-0.05818516
2026-03-11,SE0000803877,ABB.ST,3.7,0,0.0,0.0,0.0,0.0,-0.00074922
2026-03-11,SE0000803877,ALFA.ST,2.8,0,0.0,0.0,0.0,0.0,0.01578735
2026-03-11,SE0000803877,ASSA-B.ST,4.1,0,0.0,0.0,0.0,0.0,-0.02647307
2026-03-11,SE0000803877,ATCO-A.ST,7.1,0,0.0,0.0,0.0,0.0,-0.03932106
2026-03-11,SE0000803877,BOL.ST,2.5,0,0.0,0.0,0.0,0.0,-0.05967393
2026-03-11,SE0000803877,ERIC-B.ST,6.5,0,0.0,0.0,0.0,0.0,0.03352215
2026-03-11,SE0000803877,HEXA-B.ST,3.5,0,0.0,0.0,0.0,0.0,-0.00687286
2026-03-11,SE0000803877,HM-B.ST,3.8,0,0.0,0.0,0.0,0.0,-0.03119828
2026-03-11,SE0000803877,INVE-B.ST,6.8,0,0.0,0.0,0.0,0.0,-0.01559213
2026-03-11,SE0000803877,SAND.ST,4.5,1,0.0,0.0,0.0,1.0,-0.05433924
2026-03-11,SE0000803877,SEB-A.ST,4.2,0,0.0,0.0,0.0,0.0,-0.00934081
2026-03-11,SE0000803877,SHB-A.ST,3.1,0,0.0,0.0,0.0,0.0,0.0075027
2026-03-11,SE0000803877,SWED-A.ST,3.4,0,0.0,0.0,0.0,0.0,0.0062112
2026-03-11,SE0000803877,TELIA.ST,3.2,0,0.0,0.0,0.0,0.0,0.0140845
2026-03-11,SE0000803877,VOLV-B.ST,8.2,0,0.0,0.0,0.0,0.0,-0.05818516
2026-03-11,SE0001718388,ABBN.SW,4.66,0,0.0,0.0,0.0,0.0,-0.00236482
2026-03-11,SE0001718388,ALFA.ST,2.79,0,0.0,0.0,0.0,0.0,0.01578735
2026-03-11,SE0001718388,ALFA.ST.ST,2.79,1,0.0,0.0,0.0,1.0,0.01578735
2026-03-11,SE0001718388,AZN.L,3.74,6,-0.166667,0.166667,0.333333,0.5,-0.01436067
2026-03-11,SE0001718388,AZN.L.L,3.74,0,0.0,0.0,0.0,0.0,-0.02529615
2026-03-11,SE0001718388,BOL.ST,2.57,0,0.0,0.0,0.0,0.0,-0.05967393
2026-03-11,SE0001718388,BOL.ST.ST,2.57,2,0.0,0.0,0.0,1.0,-0.05967393
2026-03-11,SE0001718388,EQT.ST,4.36,9,0.0,0.222222,0.222222,0.555556,0.04048131
2026-03-11,SE0001718388,EQT.ST.ST,4.36,0,0.0,0.0,0.0,0.0,-0.00485667
2026-03-11,SE0001718388,EVO.ST,1.41,7,0.285714,0.428571,0.142857,0.428571,0.01045661
2026-03-11,SE0001718388,EVO.ST.ST,1.41,0,0.0,0.0,0.0,0.0,-0.02399998
2026-03-11,SE0001718388,SAND.ST,6.32,1,0.0,0.0,0.0,1.0,-0.05433924
2026-03-11,SE0001718388,SAND.ST.ST,6.32,0,0.0,0.0,0.0,0.0,-0.05433924
2026-03-11,SE0001718388,TELIA.ST,2.3,0,0.0,0.0,0.0,0.0,0.0140845
2026-03-11,SE0001718388,TELIA.ST.ST,2.3,2,0.0,0.0,0.0,1.0,0.0140845
2026-03-11,SE0004297927,AZN.L,4.27,6,-0.166667,0.166667,0.333333,0.5,-0.01436067
2026-03-11,SE0004297927,EQT.ST,2.49,9,0.0,0.222222,0.222222,0.555556,0.04048131
2026-03-11,SE0004297927,INDT.ST,4.14,0,0.0,0.0,0.0,0.0,-0.01574071
2026-03-11,SE0004297927,SAND.ST,0.72,1,0.0,0.0,0.0,1.0,-0.05433924
2026-03-11,SE0011527613,AAPL,5.17,10,-0.1,0.1,0.2,0.7,-0.04167783
2026-03-11,SE0011527613,AMD,0.63,5,0.2,0.2,0.0,0.8,-0.02621684
2026-03-11,SE0011527613,AMZN,2.99,5,0.4,0.4,0.0,0.6,-0.01307312
2026-03-11,SE0011527613,ASML.AS,0.97,6,-0.166667,0.0,0.166667,0.833333,-0.00650655
2026-03-11,SE0011527613,AVGO,1.4,4,0.5,0.5,0.0,0.5,-0.07506518
2026-03-11,SE0011527613,AZN.L,0.64,6,-0.166667,0.166667,0.333333,0.5,-0.01436067
2026-03-11,SE0011527613,CSCO,0.61,5,0.0,0.0,0.0,1.0,-0.00640205
2026-03-11,SE0011527613,GOOGL,2.37,2,0.0,0.0,0.0,1.0,-0.00327182
2026-03-11,SE0011527613,HD,0.76,5,0.2,0.2,0.0,0.8,-0.05674953
